canonical_smiles,molecule_chembl_id,standard_type,type,value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CN(C)c1ccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)cc2Cl)cc1,CHEMBL154151,IC50,IC50,50.0,active,384.86300000000017,4.5766000000000036,2.0,3.0,7.301029995663981
O=C(O)C1=C(C(=O)Nc2ccc(-c3cccc(OC(F)(F)F)c3)cc2C(F)(F)F)CCC1,CHEMBL157004,IC50,IC50,840.0,active,459.34200000000016,5.774600000000002,2.0,3.0,6.075720713938118
O=C(O)C1=C(C(=O)Nc2ccc(-c3ccccc3)cc2)CCC1,CHEMBL348270,IC50,IC50,410.0,active,307.34900000000016,3.8572000000000024,2.0,2.0,6.3872161432802645
O=C(O)C1=C(C(=O)Nc2ccc(-c3cccc(OC(F)(F)F)c3)c(Cl)c2)CCC1,CHEMBL345464,IC50,IC50,20.0,active,425.7900000000002,5.409200000000002,2.0,3.0,7.698970004336019
O=C(O)C1=C(C(=O)Nc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2F)CCC1,CHEMBL154214,IC50,IC50,5700.0,intermediate,409.33500000000015,4.894900000000002,2.0,3.0,5.2441251443275085
O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)CCC1,CHEMBL157105,IC50,IC50,33.0,active,427.32500000000016,5.034000000000002,2.0,3.0,7.481486060122112
COc1ccccc1-c1c(F)c(F)c(NC(=O)C2=C(C(=O)O)CCC2)c(F)c1F,CHEMBL345701,IC50,IC50,8.0,active,409.33500000000015,4.422200000000002,2.0,3.0,8.096910013008056
COc1ccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)c(Cl)c2)cc1,CHEMBL358435,IC50,IC50,8400.0,intermediate,371.82000000000005,4.519200000000003,2.0,3.0,5.075720713938118
COc1ccc(-c2cc(F)c(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c(OC)c1,CHEMBL345652,IC50,IC50,90.0,active,403.3810000000002,4.152600000000002,2.0,4.0,7.045757490560675
O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3ccccc3Cl)cc2F)CCC1,CHEMBL345147,IC50,IC50,18.0,active,377.7740000000001,4.788800000000002,2.0,2.0,7.7447274948966935
Cc1cc(-c2cccc(OC(F)(F)F)c2)ccc1NC(=O)C1=C(C(=O)O)CCC1,CHEMBL155597,IC50,IC50,150.0,active,405.3720000000002,5.064220000000002,2.0,3.0,6.823908740944319
O=C(O)C1=C(C(=O)Nc2ccc(-c3cccc4ccccc34)cc2C(F)(F)F)CCC1,CHEMBL349577,IC50,IC50,180.0,active,425.4060000000002,6.029200000000003,2.0,2.0,6.7447274948966935
O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3ccccc3F)cc2F)CCC1,CHEMBL154513,IC50,IC50,45.0,active,361.31900000000013,4.274500000000002,2.0,2.0,7.346787486224656
CC(C)(C)c1ccc(-c2ccc(NC(=O)C3=C(C(=O)O)CCC3)cc2Cl)cc1,CHEMBL157164,IC50,IC50,80.0,active,397.90200000000016,5.808100000000004,2.0,2.0,7.096910013008056
O=C(O)C1=C(C(=O)Nc2c(F)c(F)c(-c3cccc(OC(F)(F)F)c3)c(F)c2F)CCC1,CHEMBL154623,IC50,IC50,7.0,active,463.3050000000002,5.312200000000002,2.0,3.0,8.154901959985743
