canonical_smiles,molecule_chembl_id,standard_type,type,value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,IC50,IC50,0.75,active,312.32500000000005,2.8032000000000004,0.0,6.0,6.1249387366083
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,CHEMBL336398,IC50,IC50,0.1,active,376.9130000000002,4.554600000000004,0.0,5.0,7.0
CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,CHEMBL131588,IC50,IC50,50.0,inactive,426.8510000000001,5.357400000000003,0.0,5.0,4.301029995663981
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL130628,IC50,IC50,0.3,active,404.8450000000001,4.706900000000003,0.0,5.0,6.522878745280337
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL130478,IC50,IC50,0.8,active,346.33400000000006,3.095300000000001,0.0,6.0,6.096910013008056
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL130112,IC50,IC50,2.4,intermediate,338.43600000000004,4.079920000000002,0.0,5.0,5.619788758288394
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL130098,IC50,IC50,0.1,active,296.783,2.850100000000001,0.0,5.0,7.0
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL337486,IC50,IC50,50.0,inactive,408.95500000000027,4.571200000000005,0.0,6.0,4.301029995663981
COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,CHEMBL336538,IC50,IC50,0.8,active,292.364,2.2053000000000003,0.0,6.0,6.096910013008056
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL131051,IC50,IC50,50.0,inactive,408.4050000000001,4.670100000000003,0.0,6.0,4.301029995663981
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,CHEMBL341437,IC50,IC50,50.0,inactive,348.4280000000002,2.3659999999999997,0.0,7.0,4.301029995663981
CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,CHEMBL335033,IC50,IC50,0.05,active,312.3980000000001,3.3499000000000017,0.0,5.0,7.301029995663981
C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,CHEMBL122983,IC50,IC50,100.0,inactive,394.4710000000002,4.0084000000000035,1.0,4.0,4.0
CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,CHEMBL338720,IC50,IC50,0.56,active,338.4360000000001,3.8637000000000032,0.0,5.0,6.251811972993799
CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,CHEMBL339995,IC50,IC50,0.01,active,288.37600000000003,2.700100000000001,0.0,5.0,8.0
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL335158,IC50,IC50,0.01,active,406.9830000000003,5.724900000000006,0.0,5.0,8.0
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL131536,IC50,IC50,1.4,intermediate,358.85400000000004,4.424900000000004,0.0,5.0,5.853871964321762
Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,CHEMBL106126,IC50,IC50,17.0,inactive,266.34099999999995,2.5731200000000003,0.0,4.0,4.769551078621726
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL334971,IC50,IC50,1.1,intermediate,368.4620000000001,4.170200000000003,0.0,6.0,5.958607314841775
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL336625,IC50,IC50,50.0,inactive,408.57100000000014,6.0304200000000066,0.0,5.0,4.301029995663981
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL130666,IC50,IC50,0.026,active,336.8480000000002,3.7744000000000026,0.0,5.0,7.585026652029182
O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL134061,IC50,IC50,50.0,inactive,406.81700000000006,3.553200000000002,0.0,6.0,4.301029995663981
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL133388,IC50,IC50,0.8,active,276.365,2.5051200000000007,0.0,5.0,6.096910013008056
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL130645,IC50,IC50,50.0,inactive,338.82000000000016,2.620700000000001,0.0,6.0,4.301029995663981
CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1)c1ccccc1,CHEMBL335112,IC50,IC50,,intermediate,398.9190000000002,5.205100000000004,0.0,5.0,
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL133580,IC50,IC50,50.0,inactive,428.98900000000015,6.375400000000006,0.0,5.0,4.301029995663981
CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL336524,IC50,IC50,0.056,active,310.81000000000006,3.2402000000000015,0.0,5.0,7.251811972993799
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL336276,IC50,IC50,0.2,active,346.5000000000001,4.455620000000004,0.0,5.0,6.698970004336019
CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL334395,IC50,IC50,0.3,active,324.8370000000001,3.6303000000000027,0.0,5.0,6.522878745280337
Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,CHEMBL131320,IC50,IC50,0.2,active,344.362,3.4376200000000017,0.0,5.0,6.698970004336019
COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,CHEMBL339297,IC50,IC50,50.0,inactive,367.4050000000001,3.3839000000000015,1.0,6.0,4.301029995663981
CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL337714,IC50,IC50,0.5,active,330.33500000000004,3.2155000000000022,0.0,5.0,6.301029995663981
C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,CHEMBL122575,IC50,IC50,100.0,inactive,354.3620000000001,2.4778000000000002,2.0,4.0,4.0
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,CHEMBL130704,IC50,IC50,50.0,inactive,318.40200000000016,2.2757199999999997,0.0,6.0,4.301029995663981
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,CHEMBL46151,IC50,IC50,0.26,inactive,310.41900000000004,2.7406000000000015,1.0,6.0,3.585026652029182
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1,CHEMBL296010,IC50,IC50,,intermediate,298.38300000000004,2.871100000000001,1.0,5.0,
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],CHEMBL54126,IC50,IC50,22.0,active,303.19999999999993,-1.052299999999998,0.0,2.0,7.657577319177793
CCCS/C(=N\O)C(=O)c1ccc(Br)cc1,CHEMBL295017,IC50,IC50,,intermediate,302.193,3.562700000000002,1.0,4.0,
C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],CHEMBL297316,IC50,IC50,1.0,inactive,320.817,-0.7604999999999988,1.0,4.0,3.0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL65667,IC50,IC50,3.8,intermediate,388.51200000000017,1.8663999999999992,1.0,6.0,5.42021640338319
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL431519,IC50,IC50,0.04,active,486.7010000000004,4.597100000000005,1.0,6.0,7.3979400086720375
COc1ccc(C(=O)/C(=N/O)SCCCN(C)C)cc1.O=C(O)C(=O)O,CHEMBL14598,IC50,IC50,,intermediate,386.4260000000001,1.5061000000000002,3.0,8.0,
Cc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],CHEMBL296429,IC50,IC50,1.0,inactive,316.85400000000004,-0.5911799999999987,1.0,4.0,3.0
N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,CHEMBL154972,IC50,IC50,73.0,active,402.5020000000003,3.5459600000000027,2.0,7.0,7.136677139879544
COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,CHEMBL152722,IC50,IC50,3100.0,intermediate,380.8760000000002,2.1050000000000004,3.0,6.0,5.508638306165727
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,CHEMBL544022,IC50,IC50,0.52,inactive,351.29900000000004,3.807200000000003,1.0,5.0,3.283996656365201
CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,CHEMBL349127,IC50,IC50,4500.0,intermediate,369.4730000000001,0.2805600000000022,2.0,8.0,5.346787486224656
Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,CHEMBL156659,IC50,IC50,1200.0,intermediate,354.4540000000002,3.1106000000000016,2.0,6.0,5.920818753952375
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1.[Cl-],CHEMBL45118,IC50,IC50,1.0,inactive,360.90700000000004,-0.11079999999999801,1.0,5.0,3.0
CN(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1,CHEMBL47284,IC50,IC50,,intermediate,270.329,2.0909,1.0,5.0,
Cc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1.Cl,CHEMBL542609,IC50,IC50,1.0,inactive,302.82699999999994,2.682020000000001,1.0,5.0,3.0
CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL155322,IC50,IC50,540.0,active,368.4850000000001,1.90756,2.0,7.0,6.267606240177032
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,CHEMBL154211,IC50,IC50,30.0,active,354.4580000000002,1.519059999999999,2.0,7.0,7.522878745280337
CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl,CHEMBL1203537,IC50,IC50,830.0,active,378.9080000000001,1.8446600000000002,3.0,7.0,6.080921907623926
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CHEMBL86,IC50,IC50,20000.0,inactive,299.8020000000001,2.0023999999999997,2.0,4.0,4.698970004336019
COc1ccc(C(=O)/C(=N/O)SCC[N+](C)(C)C)cc1.[Cl-],CHEMBL47375,IC50,IC50,1.0,inactive,332.85299999999995,-0.8909999999999978,1.0,5.0,3.0
CN(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,CHEMBL542360,IC50,IC50,1.0,inactive,323.24499999999995,3.0270000000000015,1.0,5.0,3.0
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,CHEMBL345849,IC50,IC50,390.0,active,370.45700000000016,0.4898599999999996,3.0,8.0,6.4089353929735005
