ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag,,,,
CHEMBL3712900,Tumor necrosis factor ligand superfamily member 4,P23510,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630884,Prolow-density lipoprotein receptor-related protein 1,Q07954,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630886,Repulsive guidance molecule A,Q96B86,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4665584,CD166 antigen,Q13740,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364159,Synaptosomal nerve-associated protein 25 (SNAP-25),P60880,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4789,Carbonic anhydrase VA,P35218,SINGLE PROTEIN,Homo sapiens,744,1118,9606,False,,,,
CHEMBL3712894,Interleukin-4,P05112,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4630831,OTU domain-containing protein 3,Q5T2D3,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL4662940,Low affinity immunoglobulin gamma Fc region receptor II-b,P31994,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4662941,Melanoma-associated antigen 3,P43357,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364156,T-lymphocyte activation antigen CD86,P42081,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2364157,T-lymphocyte activation antigen CD80,P33681,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL2058,B-lymphocyte antigen CD20,P11836,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4295831,NEDD8,Q15843,SINGLE PROTEIN,Homo sapiens,1,1,9606,False,,,,
CHEMBL3712869,Parathyroid hormone-related protein,P12272,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4662939,Proepiregulin,O14944,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
CHEMBL4662944,Syncytin-1,Q9UQF0,SINGLE PROTEIN,Homo sapiens,,,9606,False,,,,
